
i,N,M,t,
1,50,800,0.000000,
2,50,800,0.003951,
0,10,5000,0.000005,
1,10,5000,0.000290,
2,10,5000,0.001188,
1,50,812,0.000403,
2,50,812,0.002287,
0,11,5000,0.000019,
1,11,5000,0.000487,
2,11,5000,0.001208,
1,50,824,0.000384,
2,50,824,0.002191,
0,13,5000,0.000071,
1,13,5000,0.000633,
2,13,5000,0.001318,
1,50,836,0.000382,
2,50,836,0.002045,
0,14,5000,0.000136,
1,14,5000,0.000640,
2,14,5000,0.001403,
1,50,849,0.000352,
2,50,849,0.002098,
0,15,5000,0.000257,
1,15,5000,0.000640,
2,15,5000,0.001906,
1,50,861,0.000344,
2,50,861,0.002070,
0,17,5000,0.000985,
1,17,5000,0.000679,
2,17,5000,0.002045,
1,50,873,0.000322,
2,50,873,0.001925,
0,18,5000,0.001926,
1,18,5000,0.000708,
2,18,5000,0.002117,
1,50,885,0.000325,
2,50,885,0.001881,
0,19,5000,0.003755,
1,19,5000,0.000723,
2,19,5000,0.002162,
1,50,898,0.000323,
2,50,898,0.001827,
0,21,5000,0.014841,
1,21,5000,0.000775,
2,21,5000,0.003253,
1,50,910,0.000350,
2,50,910,0.001842,
0,22,5000,0.029081,
1,22,5000,0.001087,
2,22,5000,0.003226,
1,50,922,0.000356,
2,50,922,0.001866,
0,23,5000,0.061347,
1,23,5000,0.000853,
2,23,5000,0.003280,
1,50,934,0.000362,
2,50,934,0.001945,
0,25,5000,0.235034,
1,25,5000,0.000959,
2,25,5000,0.004410,
1,50,947,0.000391,
2,50,947,0.001984,
1,26,5000,0.001024,
2,26,5000,0.004464,
1,50,959,0.000344,
2,50,959,0.002053,
1,27,5000,0.001226,
2,27,5000,0.004811,
1,50,971,0.000376,
2,50,971,0.002151,
1,29,5000,0.001154,
2,29,5000,0.005106,
1,50,984,0.000362,
2,50,984,0.002227,
1,30,5000,0.001121,
2,30,5000,0.006087,
1,50,996,0.000484,
2,50,996,0.002306,
1,31,5000,0.001170,
2,31,5000,0.006337,
1,50,1008,0.000371,
2,50,1008,0.002303,
1,33,5000,0.001271,
2,33,5000,0.003166,
1,50,1020,0.000394,
2,50,1020,0.002289,
1,34,5000,0.001363,
2,34,5000,0.006996,
1,50,1033,0.000000,
2,50,1033,0.000000,
1,35,5000,0.000334,
2,35,5000,0.008243,
1,50,1045,0.000368,
2,50,1045,0.002261,
1,37,5000,0.001421,
2,37,5000,0.008929,
1,50,1057,0.000408,
2,50,1057,0.002358,
1,38,5000,0.001448,
2,38,5000,0.008825,
1,50,1069,0.000398,
2,50,1069,0.002481,
1,39,5000,0.001453,
2,39,5000,0.009459,
1,50,1082,0.000607,
2,50,1082,0.002349,
1,41,5000,0.001662,
2,41,5000,0.010708,
1,50,1094,0.000445,
2,50,1094,0.002409,
1,42,5000,0.001608,
2,42,5000,0.011276,
1,50,1106,0.000516,
2,50,1106,0.002731,
1,43,5000,0.001728,
2,43,5000,0.011438,
1,50,1118,0.000418,
2,50,1118,0.002483,
1,44,5000,0.001740,
2,44,5000,0.011639,
1,50,1131,0.000416,
2,50,1131,0.002569,
1,46,5000,0.001805,
2,46,5000,0.013567,
1,50,1143,0.000425,
2,50,1143,0.002699,
1,47,5000,0.001752,
2,47,5000,0.014063,
1,50,1155,0.000425,
2,50,1155,0.002810,
1,48,5000,0.001783,
2,48,5000,0.014174,
1,50,1168,0.000433,
2,50,1168,0.002722,
1,50,5000,0.001914,
2,50,5000,0.016362,
1,50,1180,0.000441,
2,50,1180,0.002817,
1,51,5000,0.001952,
2,51,5000,0.016554,
1,50,1192,0.000443,
2,50,1192,0.002730,
1,52,5000,0.000000,
2,52,5000,0.014954,
1,50,1204,0.000443,
2,50,1204,0.002905,
1,54,5000,0.002040,
2,54,5000,0.017430,
1,50,1217,0.000450,
2,50,1217,0.002841,
1,55,5000,0.002096,
2,55,5000,0.015403,
1,50,1229,0.000451,
2,50,1229,0.002904,
1,56,5000,0.002104,
2,56,5000,0.019923,
1,50,1241,0.000500,
2,50,1241,0.002902,
1,58,5000,0.002282,
2,58,5000,0.020399,
1,50,1253,0.000454,
2,50,1253,0.003001,
1,59,5000,0.002287,
2,59,5000,0.020776,
1,50,1266,0.000471,
2,50,1266,0.002993,
1,60,5000,0.002354,
2,60,5000,0.023010,
1,50,1278,0.000466,
2,50,1278,0.003181,
1,62,5000,0.002391,
2,62,5000,0.023607,
1,50,1290,0.000546,
2,50,1290,0.003119,
1,63,5000,0.002403,
2,63,5000,0.023866,
1,50,1302,0.000492,
2,50,1302,0.003172,
1,64,5000,0.002448,
2,64,5000,0.024391,
1,50,1315,0.000494,
2,50,1315,0.003296,
1,66,5000,0.002532,
2,66,5000,0.029299,
1,50,1327,0.000544,
2,50,1327,0.003246,
1,67,5000,0.002570,
2,67,5000,0.030021,
1,50,1339,0.000526,
2,50,1339,0.003324,
1,68,5000,0.002645,
2,68,5000,0.030396,
1,50,1352,0.000506,
2,50,1352,0.003420,
1,70,5000,0.002668,
2,70,5000,0.030412,
1,50,1364,0.000509,
2,50,1364,0.003334,
1,71,5000,0.002672,
2,71,5000,0.031106,
1,50,1376,0.000517,
2,50,1376,0.003396,
1,72,5000,0.002755,
2,72,5000,0.031311,
1,50,1388,0.000517,
2,50,1388,0.003330,
1,74,5000,0.002815,
2,74,5000,0.032058,
1,50,1401,0.000570,
2,50,1401,0.003402,
1,75,5000,0.002851,
2,75,5000,0.034235,
1,50,1413,0.000531,
2,50,1413,0.003564,
1,76,5000,0.002904,
2,76,5000,0.030570,
1,50,1425,0.000523,
2,50,1425,0.003555,
1,77,5000,0.000000,
2,77,5000,0.034667,
1,50,1437,0.000532,
2,50,1437,0.003704,
1,79,5000,0.003003,
2,79,5000,0.036376,
1,50,1450,0.000551,
2,50,1450,0.003775,
